Leverage,Final Balance,Return (%),Win Rate (%),MDD (%),Profit Factor,Total Trades,Ticker,Score
5,5583.569828707631,458.3569828707631,53.0,-35.55716951002136,1.3690677827554625,500,AIAUSDT,12.538087303096987
5,3019.803042444218,201.9803042444218,46.38429752066116,-20.72801140141085,1.2885547885272624,968,AIOTUSDT,9.295848594377428
10,5797.962511244609,479.7962511244609,49.84423676012461,-58.8717961533057,1.2492772115064177,1284,AIOTUSDT,8.013727363313285
5,2090.1542211961573,109.01542211961572,45.956607495069036,-12.729694323166724,1.341622054812941,507,SOMIUSDT,7.9401201187465
10,3782.233908307599,278.2233908307599,48.275862068965516,-37.77719612335449,1.2988224205981822,522,XPINUSDT,7.174922857900838
1,1559.4728665801827,55.94728665801827,39.65267727930535,-7.154977953960874,1.3377315006486805,691,TNSRUSDT,6.8605074071162475
1,1433.5218080069378,43.35218080069378,45.6953642384106,-6.918236793641238,1.4989769349051836,302,AIOTUSDT,5.474979080634197
1,1376.4690932593037,37.646909325930366,37.34567901234568,-5.890976814914661,1.288560396250083,648,CAKEUSDT,5.463218109288703
1,1327.2928240566935,32.729282405669345,41.23222748815166,-5.159200137629191,1.3225588842265221,422,THEUSDT,5.313885191960583
1,1343.854993294514,34.385499329451406,38.55421686746988,-5.707150821589877,1.6224053629043507,166,CUDISUSDT,5.126692427843839
