Ticker,Total Return,Win Rate,Trades,Final Balance
1000CATUSDT,11.006514810662665,45.65217391304348,46,11100.651481066267
AVNTUSDT,8.6818011234207,83.33333333333334,6,10868.18011234207
ARBUSDT,5.818344207874361,38.69047619047619,168,10581.834420787436
ARUSDT,4.935090967057659,35.714285714285715,238,10493.509096705766
AUCTIONUSDT,4.569884061437242,38.0,100,10456.988406143724
BASUSDT,4.001894837656091,55.55555555555556,9,10400.18948376561
BABYUSDT,3.2145960494495736,44.44444444444444,36,10321.459604944957
ANKRUSDT,0.15723640539570624,36.57587548638132,257,10015.72364053957
COAIUSDT,-0.2099400506283382,33.33333333333333,6,9979.005994937166
ASTRUSDT,-0.4787878829390866,34.45945945945946,148,9952.121211706091
B2USDT,-1.0402995891281899,30.76923076923077,26,9895.970041087181
ALPINEUSDT,-1.4521957624973219,31.03448275862069,29,9854.780423750268
B3USDT,-1.6352293197249672,29.629629629629626,27,9836.477068027503
HANAUSDT,-1.8642148577659283,20.0,5,9813.578514223407
AVAUSDT,-2.6159705697038587,29.545454545454547,44,9738.402943029614
AUSDT,-2.678158118889842,18.181818181818183,22,9732.184188111016
AVAAIUSDT,-3.657392715499718,28.000000000000004,50,9634.260728450028
AIOUSDT,-4.038294893860057,12.5,8,9596.170510613994
ATAUSDT,-5.358615549311308,31.428571428571427,245,9464.13844506887
ARPAUSDT,-12.57678996759936,30.909090909090907,220,8742.321003240064
