final_capital,total_profit,profit_pct,trade_count,win_rate,mdd_pct,symbol
1708382623.2792585,1708372623.2792585,17083726.232792586,26,46.15384615384615,181743.1490759447,AIAUSDT
123840.05120983359,113840.05120983359,1138.4005120983359,2,50.0,0.0,MMTUSDT
23883.228288142935,13883.228288142935,138.83228288142934,6,33.33333333333333,148.64273433967597,TRUSTUSDT
144.48614212904454,-9855.513857870956,-98.55513857870956,28,35.714285714285715,150.53744349043237,0GUSDT
1.604118055887962,-9998.395881944112,-99.98395881944113,245,32.6530612244898,99.99243858328275,BNBUSDT
1.0663120924090062,-9998.93368790759,-99.9893368790759,243,29.629629629629626,99.99899362855508,BTCUSDT
0.002907303280856983,-9999.99709269672,-99.9999709269672,213,37.558685446009385,195.26099272916167,XRPUSDT
2.0598799865893878e-05,-9999.9999794012,-99.999999794012,60,31.666666666666664,100.13531266243938,XPLUSDT
4.04710927184608e-09,-9999.999999995953,-99.99999999995953,157,31.210191082802545,100.04596226471062,PARTIUSDT
1.4241747445737365e-09,-9999.999999998576,-99.99999999998576,234,32.9059829059829,101.46940521221055,ADAUSDT
3.091569591719072e-10,-9999.99999999969,-99.9999999999969,222,34.68468468468468,100.00000000034363,1000PEPEUSDT
1.1306874534443728e-10,-9999.999999999887,-99.99999999999886,224,33.92857142857143,100.02052135629025,SUIUSDT
2.994573403681263e-11,-9999.99999999997,-99.99999999999972,250,31.6,100.09734026443313,LINKUSDT
4.7082474669892885e-12,-9999.999999999995,-99.99999999999994,265,30.566037735849054,99.99999999999997,BCHUSDT
5.916446315216734e-16,-10000.0,-100.0,246,30.89430894308943,136.8860338302511,TAOUSDT
-1.5285186598703112e-14,-10000.0,-100.0,257,30.35019455252918,100.00001665879259,HBARUSDT
1.182962524199108e-21,-10000.0,-100.0,256,26.5625,110.39276242124186,DYMUSDT
-4.0649185537121625e-15,-10000.0,-100.0,254,32.28346456692913,103.23031914249032,TNSRUSDT
-3.7186182681692024e-33,-10000.0,-100.0,243,24.691358024691358,125.32900314611781,PIPPINUSDT
1.393913095372898e-14,-10000.0,-100.0,259,32.818532818532816,101.73209710986582,AAVEUSDT
1.8036354417693443e-22,-10000.0,-100.0,222,33.78378378378378,100.00747966791504,ENAUSDT
8.675462530102531e-13,-10000.0,-100.0,213,31.455399061032864,100.00876126877006,ALICEUSDT
6.86788211116754e-13,-10000.0,-100.0,86,36.04651162790697,100.00127629569464,PUMPUSDT
3.2576657362526487e-22,-10000.0,-100.0,226,37.16814159292036,224.76689023392785,FARTCOINUSDT
2.0776565674194836e-22,-10000.0,-100.0,175,22.285714285714285,138.39579224194608,BANANAS31USDT
2.936868152295281e-26,-10000.0,-100.0,274,33.941605839416056,100.65626639397942,1000RATSUSDT
-1.2897388278566572e-18,-10000.0,-100.0,238,29.831932773109244,142.67606128727883,STRKUSDT
-1.0997838371255644e-17,-10000.0,-100.0,276,27.898550724637683,100.00624733809178,LTCUSDT
-1.8577509603087535e-15,-10000.0,-100.0,229,33.624454148471614,125.86053531163938,MAVUSDT
-2.0484648883562244e-10,-10000.000000000206,-100.00000000000206,246,33.739837398373986,100.00194177796993,ZECUSDT
-2.9487998737557923e-10,-10000.000000000295,-100.00000000000296,229,34.93449781659388,100.00000000057834,UNIUSDT
-2.0071829039786136e-09,-10000.000000002006,-100.00000000002007,128,32.8125,129.50040453074422,BANKUSDT
-3.551029680220951e-06,-10000.00000355103,-100.00000003551028,226,33.1858407079646,100.00007044446045,DOGEUSDT
-3.079364743307946e-05,-10000.000030793648,-100.00000030793647,242,30.991735537190085,100.02543676969412,AVAXUSDT
-6.518050439852038e-05,-10000.000065180504,-100.00000065180504,212,35.37735849056604,100.17329227390208,SOLUSDT
-0.0006928868185561171,-10000.000692886819,-100.00000692886819,267,29.213483146067414,100.06686677999575,ETHUSDT
-0.0007457207174919184,-10000.000745720718,-100.00000745720719,64,34.375,210.88364345158527,WLFIUSDT
-0.007900020508981144,-10000.00790002051,-100.00007900020509,104,32.69230769230769,100.02769099952951,HYPEUSDT
-0.01413602084855981,-10000.014136020849,-100.00014136020849,211,32.22748815165877,100.00073761291999,DASHUSDT
-1.099051631570572,-10001.09905163157,-100.0109905163157,38,34.21052631578947,104.16618828970701,ASTERUSDT
-18.882925877316907,-10018.882925877317,-100.18882925877317,23,26.08695652173913,103.7161397492167,GIGGLEUSDT
-5107.847167004131,-15107.84716700413,-151.07847167004132,7,14.285714285714285,124.09288824383167,PIEVERSEUSDT
-12774.879951853578,-22774.879951853578,-227.7487995185358,3,0.0,119.61048505634488,BEATUSDT
